canonical_team_id,af_team_id,af_team_name,ft_team_id,ft_team_name,us_team_id,us_team_name,sf_team_id,sf_team_name,tm_team_id,tm_team_name,tm_total_market_value_eur,tm_squad_size,tm_average_age
AEDEC_HYON,5736,AEDEC Hyon,,,,,,,,,,,
AEEK_INKA,6293,AEEK INKA,,,,,,,,,,,
AEK_ATHENS_FC,575,AEK Athens FC,,,,,,,,,,,
AEK_LARNACA,614,AEK Larnaca,,,,,,,,,,,
AEL,3396,AEL,,,,,,,,,,,
AEMME,24178,Aemme,,,,,,,,,,,
AETOS_LOUTRON,15227,Aetos Loutron,,,,,,,,,,,
AETOS_MAKRYCHORIOU,15257,Aetos Makrychoriou,,,,,,,,,,,
AETOS_ORFANI,6294,Aetos Orfani,,,,,,,,,,,
AETOS_VARVARAS,15246,Aetos Varvaras,,,,,,,,,,,
AE_KARAISKAKIS,2103,AE Karaiskakis,,,,,,,,,,,
AE_MYKONOS,18057,AE Mykonos,,,,,,,,,,,
AE_NEAPOLIS,15368,AE Neapolis,,,,,,,,,,,
AFANTOU,20043,Afantou,,,,,,,,,,,
AFC_AMSTERDAM,1252,AFC Amsterdam,,,,,,,,,,,
AFC_BRIDGNORTH,11934,AFC Bridgnorth,,,,,,,,,,,
AFC_CROYDON_ATHLETIC,8667,AFC Croydon Athletic,,,,,,,,,,,
AFC_DARWEN,11935,AFC Darwen,,,,,,,,,,,
AFC_DUNSTABLE,7610,AFC Dunstable,,,,,,,,,,,
AFC_EMLEY,11936,AFC Emley,,,,,,,,,,,
AFC_ESKILSTUNA,765,AFC Eskilstuna,654.0,AFC Eskilstuna City,,,3aa935e95250c9a9,AFC Eskilstuna,0.0,0,,,
AFC_EVERE,14149,AFC Evere,,,,,,,,,,,
AFC_FYLDE,1839,AFC Fylde,1831.0,AFC Fylde,,,,,0.0,0,,,
AFC_HAYES,8668,AFC Hayes,,,,,,,,,,,
AFC_HORNCHURCH,7690,AFC Hornchurch,,,,,,,,,,,
AFC_II,14226,AFC II,,,,,,,,,,,
AFC_KEMPSTON_ROVERS,7611,AFC Kempston Rovers,,,,,,,,,,,
AFC_LIVERPOOL,8669,AFC Liverpool,,,,,,,,,,,
AFC_MANSFIELD,8670,AFC Mansfield,,,,,,,,,,,
AFC_PORTCHESTER,8671,AFC Portchester,,,,,,,,,,,
AFC_RUSHDEN_DIAMONDS,7691,AFC Rushden & Diamonds,,,,,,,,,,,
AFC_STONEHAM,8672,AFC Stoneham,,,,,,,,,,,
AFC_SUDBURY,7205,AFC Sudbury,,,,,,,,,,,
AFC_TELFORD_UNITED,4688,AFC Telford United,,,,,,,,,,,
AFC_TOTTON,7612,AFC Totton,,,,,,,,,,,
AFC_WHYTELEAFE,24354,AFC Whyteleafe,,,,,,,,,,,
AFC_WIMBLEDON,1333,AFC Wimbledon,241.0,AFC Wimbledon,,,c79b697edcd67ba9,AFC Wimbledon,3884.0,AFC Wimbledon,5400000,27,26.0
AFC_WULFRUNIANS,8673,AFC Wulfrunians,,,,,,,,,,,
AFFOLTERN_AM_ALBIS,19591,Affoltern am Albis,,,,,,,,,,,
AFJET_AFYONSPOR,3565,Afjet Afyonspor,,,,,,,,,,,
AFOGADOS,9995,Afogados,,,,,,,,,,,
AGA,7048,Åga,,,,,,,,,,,
AGB,21633,AGB,,,,,,,,,,,
AGDE,9263,Agde,,,,,,,,,,,
AGIOI_THEODOROI,22270,Agioi Theodoroi,,,,,,,,,,,
AGIOS_DIMITRIOS_AGRINIO,24850,Agios Dimitrios Agrinio,,,,,,,,,,,
AGIOS_IEROTHEOS,12395,Agios Ierotheos,,,,,,,,,,,
AGIOS_MATTHAIOS,15250,Agios Matthaios,,,,,,,,,,,
AGIOS_NIKOLAOS,12417,Agios Nikolaos,,,,,,,,,,,
AGIOU_LEONTA,15475,Agiou Leonta,,,,,,,,,,,
AGOW,16277,Łagów,,,,,,,,,,,
AGROPECUARIO,462,Agropecuario,1060.0,Club Agropecuario Argentino,,,947c9daa25d629c9,Agropecuario,38545.0,CA Agropecuario,3160000,28,27.1
AGROTIKOS_ASTERAS,2093,Agrotikos Asteras,,,,,,,,,,,
AGR_1970,6509,Ağrı 1970,,,,,,,,,,,
AGUARA,18768,Aguará,,,,,,,,,,,
AGUA_SANTA,10018,Água Santa,,,,,,,,,,,
AGUEDA,4817,Águeda,,,,,,,,,,,
AGUIAR_DA_BEIRA,4871,Aguiar da Beira,,,,,,,,,,,
AGUIAS_DO_MORADAL,4867,Águias do Moradal,,,,,,,,,,,
AGUIA_DE_MARABA,7879,Águia de Marabá,,,,,,,,,,,
AGUIA_FC_VIMIOSO,4866,Águia FC Vimioso,,,,,,,,,,,
AGUIA_NEGRA,10006,Águia Negra,,,,,,,,,,,
AGUILAS,9823,Águilas,,,,,,,,,,,
AG_CAENNAISE,3007,AG Caennaise,,,,,,,,,,,
AHLAFORS,12570,Ahlafors,,,,,,,,,,,
AH_ZAPLA,3941,AH Zapla,,,,,,,,,,,
AIAS_GASTOUNIS,15365,Aias Gastounis,,,,,,,,,,,
AIAS_SALAMINA,15228,Aias Salamina,,,,,,,,,,,
